,Actual_Temperature,Predicted_Temperature
224,17.211113,18.345335
225,17.850002,17.811573
226,17.938887,17.642006
227,19.027779,18.043003
228,19.050001,19.649876
229,19.072224,18.549217
230,19.97778,17.991323
231,19.005556,19.82771
232,16.361109,19.181112
233,14.305556,16.22393
234,11.255554,13.927505
235,10.12222,11.115731
236,10.550001,9.524325
237,8.994446,10.505526
238,8.461111,9.056806
239,8.561111,8.873096
240,5.777777,9.671732
241,5.2222233,5.3248563
242,5.783333,5.072713
243,4.1555557,6.829255
244,7.816666,5.6340117
245,13.622222,9.240036
246,17.688889,16.0838
247,19.905556,20.097664
248,20.044447,21.193157
249,22.194447,20.503605
250,22.266666,22.4155
251,21.255558,22.566118
252,20.994444,20.666412
253,18.905554,20.079948
254,17.93333,18.224375
255,13.955555,16.931648
256,12.822221,14.110077
257,12.966665,13.659272
258,12.199999,13.194202
259,11.105555,12.063671
260,10.588891,10.340798
261,9.005555,9.324792
262,8.955556,8.281513
263,5.744445,9.600181
264,6.2499995,5.6296167
265,5.188889,6.954869
266,3.155556,5.2790313
267,3.0388885,3.0526028
268,5.011111,4.040308
269,7.7111115,6.0919514
270,11.161112,9.676633
271,12.266667,13.547503
272,12.883334,13.656814
273,13.961111,13.141526
274,15.072223,14.83359
275,15.183332,16.137255
276,16.161112,14.717567
277,16.11111,15.340485
278,16.127777,15.873058
279,14.044443,15.735517
280,12.427778,13.908167
281,9.583334,11.896228
282,6.3000007,9.212136
283,6.1388893,6.026212
284,4.105556,5.177384
285,6.477779,4.1366053
286,4.4444456,5.7628927
287,4.183334,5.7435675
288,2.316666,5.6230826
289,2.7111104,3.3365831
290,2.877777,4.037091
291,2.111111,4.707296
292,3.688889,4.063657
293,6.7833343,5.5040917
294,9.844443,7.969944
295,12.733334,11.08732
296,14.977779,13.789812
297,16.22778,16.56193
298,17.244444,18.276594
299,17.161112,18.332935
300,17.288889,17.007261
301,17.244444,16.5585
302,17.194447,17.36952
303,16.155556,16.531532
304,13.905554,15.636552
305,10.411109,14.001906
306,8.816668,9.774427
307,6.1611104,8.869014
308,5.8611107,5.72851
309,4.9444447,5.6111674
310,4.938889,6.12369
311,6.294445,5.7709208
312,3.8055565,6.7449965
313,3.7111118,4.5574856
314,3.505555,4.4795346
315,2.716666,4.2057004
316,5.9388885,4.357808
317,10.716664,7.72632
318,13.894443,12.703422
319,16.161112,15.991174
320,17.255556,17.382616
321,18.961111,17.89124
322,19.050001,19.760677
323,20.96667,19.296438
324,21.155556,20.824389
325,21.155556,21.611029
326,21.233335,21.390564
327,20.088886,20.804665
328,17.4,20.12999
329,14.494446,16.479301
330,12.894445,13.371413
331,12.783335,12.000572
332,11.666668,11.9112215
333,8.611111,10.448652
334,7.4555554,7.1421375
335,5.577778,6.6268682
336,7.277777,6.0187507
337,6.7611113,7.6436486
338,6.7444444,6.9101806
339,8.866667,7.2169704
340,7.8277774,10.179187
341,10.016666,8.922356
342,11.133333,10.630011
343,12.77778,11.779904
344,14.050002,13.044305
345,14.5611105,13.164558
346,16.22778,13.173947
347,16.872225,15.686431
348,17.316668,16.214788
349,17.800001,16.128145
350,17.877777,16.622564
351,17.266666,16.759491
352,15.55,15.953785
353,13.155555,13.963988
354,11.116666,11.5890875
355,7.755555,10.050232
356,7.688889,6.453227
357,5.5555553,7.389732
358,5.927777,5.3408904
359,2.6277769,6.403309
360,2.8277779,3.0040715
361,3.3111115,3.0093458
362,4.022221,4.0232897
363,3.1777787,5.2180896
364,3.5444448,4.2885222
365,8.15,4.121995
366,10.65,9.604636
367,12.316665,11.146645
368,14.594444,11.979122
369,15.622225,14.385514
370,16.755554,15.455893
371,17.455557,15.697797
372,17.844444,16.72033
373,17.866667,16.51337
374,17.93333,15.707981
375,16.822224,16.206753
376,15.661111,15.124133
377,12.555555,13.703129
378,10.511111,10.56644
379,8.794445,9.131892
380,5.9666667,7.800091
381,3.005556,5.109831
